date; time; temperature; humidity 
2023-01-07; 15:09:32; 21.0; 74
2023-01-07; 15:09:41; 21.0; 75
2023-01-07; 15:10:50; 21.0; 74
2023-01-07; 15:10:52; 21.0; 74
2023-01-07; 15:10:53; 21.0; 80
2023-01-07; 15:10:55; 21.0; 80
2023-01-07; 15:10:57; 21.0; 80
2023-01-07; 15:24:13; 21.0; 74
2023-01-07; 16:01:59; 20.0; 74
2023-01-07; 16:04:39; 20.0; 74
2023-01-07; 16:05:02; 20.0; 74
2023-01-07; 16:30:07; 21.0; 76
2023-01-07; 17:00:07; 20.0; 73
2023-01-07; 17:30:07; 19.0; 76
2023-01-07; 18:00:07; 20.0; 73
2023-01-07; 18:30:08; 20.0; 70
2023-01-07; 19:00:06; 20.0; 69
2023-01-07; 19:30:06; 21.0; 69
2023-01-07; 20:00:06; 21.0; 67
2023-01-07; 20:30:07; 21.0; 66
2023-01-07; 21:00:07; 20.0; 66
2023-01-07; 21:30:07; 20.0; 67
2023-01-07; 22:00:07; 20.0; 66
2023-01-07; 22:30:07; 20.0; 68
2023-01-07; 23:00:07; 20.0; 70
2023-01-07; 23:30:07; 20.0; 73
2023-01-08; 00:00:07; 20.0; 75
2023-01-08; 00:30:07; 20.0; 75
2023-01-08; 01:00:08; 19.0; 80
2023-01-08; 01:30:07; 19.0; 87
2023-01-08; 02:00:07; 19.0; 84
2023-01-08; 02:30:07; 18.0; 87
2023-01-08; 03:00:07; 18.0; 87
2023-01-08; 03:30:08; 18.0; 87
2023-01-08; 04:00:07; 18.0; 88
2023-01-08; 04:30:07; 18.0; 89
2023-01-08; 05:00:06; 18.0; 88
2023-01-08; 05:30:07; 19.0; 86
2023-01-08; 06:00:07; 19.0; 85
2023-01-08; 06:30:07; 19.0; 85
2023-01-08; 07:00:07; 19.0; 84
2023-01-08; 07:30:07; 19.0; 84
2023-01-08; 08:00:07; 19.0; 85
2023-01-08; 08:30:08; 19.0; 84
2023-01-08; 09:00:07; 19.0; 87
2023-01-08; 09:30:07; 19.0; 88
2023-01-08; 10:00:07; 18.0; 89
2023-01-08; 10:30:06; 18.0; 90
2023-01-08; 11:00:07; 18.0; 91
2023-01-08; 11:30:06; 18.0; 92
2023-01-08; 12:00:06; 18.0; 92
2023-01-08; 12:30:07; 18.0; 85
2023-01-08; 13:00:07; 16.0; 80
2023-01-08; 13:30:07; 18.0; 80
2023-01-08; 14:00:02; 19.0; 75
2023-01-08; 14:30:07; 19.0; 73
2023-01-08; 15:00:07; 19.0; 70
2023-01-08; 15:30:07; 19.0; 75
2023-01-08; 16:00:07; 19.0; 76
2023-01-08; 16:30:01; 19.0; 71
2023-01-08; 17:00:07; 19.0; 73
2023-01-08; 17:30:07; 19.0; 71
2023-01-08; 18:00:07; 19.0; 72
2023-01-08; 18:30:01; 20.0; 70
2023-01-08; 19:00:06; 21.0; 69
2023-01-08; 19:30:07; 21.0; 70
2023-01-08; 20:00:07; 21.0; 71
2023-01-08; 20:30:07; 21.0; 71
2023-01-08; 21:00:07; 21.0; 72
2023-01-08; 21:30:07; 21.0; 69
2023-01-08; 22:00:02; 21.0; 68
2023-01-08; 22:30:07; 21.0; 67
2023-01-08; 23:00:06; 21.0; 68
2023-01-08; 23:30:07; 20.0; 72
2023-01-09; 00:00:04; 19.0; 79
2023-01-09; 00:30:08; 19.0; 80
2023-01-09; 01:00:07; 19.0; 81
2023-01-09; 01:30:07; 18.0; 83
2023-01-09; 02:00:07; 18.0; 85
2023-01-09; 02:30:06; 18.0; 84
2023-01-09; 03:00:07; 18.0; 85
2023-01-09; 03:30:07; 18.0; 86
2023-01-09; 04:00:06; 18.0; 86
2023-01-09; 04:30:07; 18.0; 86
2023-01-09; 05:00:03; 18.0; 87
2023-01-09; 05:30:07; 19.0; 85
2023-01-09; 06:00:07; 19.0; 84
2023-01-09; 06:30:01; 19.0; 83
2023-01-09; 07:00:01; 19.0; 82
2023-01-09; 07:30:07; 19.0; 78
2023-01-09; 08:00:02; 19.0; 79
2023-01-09; 08:30:05; 19.0; 79
2023-01-09; 09:00:02; 18.0; 81
2023-01-09; 09:30:02; 18.0; 82
2023-01-09; 10:00:02; 18.0; 82
2023-01-09; 10:30:01; 18.0; 82
2023-01-09; 11:00:02; 18.0; 83
2023-01-09; 11:30:02; 18.0; 83
2023-01-09; 12:00:02; 18.0; 83
2023-01-09; 12:30:02; 18.0; 83
2023-01-09; 13:00:06; 18.0; 83
2023-01-09; 13:30:04; 18.0; 82
